system:time_start,O3_column_number_density
"Jan 1, 2024",0.134
"Jan 1, 2024",0.137
"Jan 1, 2024",0.127
"Jan 1, 2024",
"Jan 2, 2024",0.136
"Jan 2, 2024",
"Jan 2, 2024",0.137
"Jan 2, 2024",
"Jan 3, 2024",
"Jan 3, 2024",
"Jan 3, 2024",0.139
"Jan 4, 2024",
"Jan 4, 2024",
"Jan 4, 2024",0.141
"Jan 4, 2024",0.146
"Jan 4, 2024",
"Jan 5, 2024",
"Jan 5, 2024",0.153
"Jan 5, 2024",0.161
"Jan 5, 2024",
"Jan 6, 2024",0.153
"Jan 6, 2024",0.157
"Jan 6, 2024",
"Jan 6, 2024",0.147
"Jan 6, 2024",
"Jan 7, 2024",
"Jan 7, 2024",0.163
"Jan 7, 2024",
"Jan 7, 2024",0.162
"Jan 8, 2024",
"Jan 8, 2024",
"Jan 8, 2024",0.166
"Jan 8, 2024",0.163
"Jan 9, 2024",
"Jan 9, 2024",0.124
"Jan 9, 2024",0.126
"Jan 9, 2024",
"Jan 10, 2024",0.106
"Jan 10, 2024",0.111
"Jan 10, 2024",
"Jan 11, 2024",
"Jan 11, 2024",0.146
"Jan 11, 2024",0.148
"Jan 11, 2024",
"Jan 11, 2024",
"Jan 12, 2024",
"Jan 12, 2024",0.124
"Jan 12, 2024",0.14
"Jan 12, 2024",0.132
"Jan 13, 2024",
"Jan 13, 2024",0.139
"Jan 13, 2024",0.135
"Jan 13, 2024",
"Jan 14, 2024",0.14
"Jan 14, 2024",
"Jan 14, 2024",0.137
"Jan 14, 2024",
"Jan 15, 2024",
"Jan 15, 2024",
"Jan 15, 2024",0.14
"Jan 15, 2024",0.144
"Jan 16, 2024",
"Jan 16, 2024",0.151
"Jan 16, 2024",0.151
"Jan 16, 2024",
"Jan 17, 2024",0.156
"Jan 17, 2024",0.157
"Jan 17, 2024",
"Jan 17, 2024",0.151
"Jan 17, 2024",
"Jan 18, 2024",0.157
"Jan 18, 2024",
"Jan 18, 2024",0.157
"Jan 18, 2024",
"Jan 19, 2024",
"Jan 19, 2024",
"Jan 19, 2024",0.167
"Jan 19, 2024",0.174
"Jan 19, 2024",
"Jan 20, 2024",0.184
"Jan 20, 2024",0.186
"Jan 20, 2024",
"Jan 21, 2024",
"Jan 21, 2024",
"Jan 21, 2024",
"Jan 21, 2024",
"Jan 22, 2024",0.178
"Jan 22, 2024",
"Jan 22, 2024",0.182
"Jan 22, 2024",
"Jan 23, 2024",
"Jan 23, 2024",0.155
"Jan 23, 2024",
"Jan 23, 2024",0.146
"Jan 23, 2024",
"Jan 24, 2024",
"Jan 24, 2024",
"Jan 24, 2024",0.145
"Jan 24, 2024",0.147
"Jan 25, 2024",
"Jan 25, 2024",0.159
"Jan 25, 2024",0.158
"Jan 25, 2024",
"Jan 26, 2024",
"Jan 26, 2024",
"Jan 26, 2024",0.152
"Jan 26, 2024",0.158
"Jan 27, 2024",
"Jan 27, 2024",0.159
"Jan 27, 2024",0.165
"Jan 27, 2024",
"Jan 28, 2024",0.162
"Jan 28, 2024",0.16
"Jan 28, 2024",
"Jan 28, 2024",0.157
"Jan 28, 2024",
"Jan 29, 2024",0.16
"Jan 29, 2024",
"Jan 29, 2024",0.166
"Jan 29, 2024",
"Jan 30, 2024",
"Jan 30, 2024",
"Jan 30, 2024",0.167
"Jan 30, 2024",0.168
"Jan 30, 2024",
"Jan 31, 2024",
"Jan 31, 2024",
"Jan 31, 2024",0.17
"Jan 31, 2024",0.173
"Jan 31, 2024",
"Feb 1, 2024",
"Feb 1, 2024",0.182
"Feb 1, 2024",0.2
"Feb 1, 2024",
"Feb 2, 2024",0.203
"Feb 2, 2024",0.194
"Feb 2, 2024",
"Feb 2, 2024",0.186
"Feb 2, 2024",
"Feb 3, 2024",
"Feb 3, 2024",0.176
"Feb 3, 2024",
"Feb 3, 2024",0.179
"Feb 3, 2024",
"Feb 4, 2024",
"Feb 4, 2024",
"Feb 4, 2024",0.193
"Feb 4, 2024",0.193
"Feb 4, 2024",
"Feb 5, 2024",
"Feb 5, 2024",
"Feb 5, 2024",0.174
"Feb 5, 2024",0.171
"Feb 5, 2024",
"Feb 6, 2024",0.159
"Feb 6, 2024",0.164
"Feb 6, 2024",
"Feb 6, 2024",
"Feb 7, 2024",0.168
"Feb 7, 2024",
"Feb 7, 2024",0.174
"Feb 7, 2024",
"Feb 7, 2024",
"Feb 7, 2024",0.162
"Feb 8, 2024",
"Feb 8, 2024",0.153
"Feb 8, 2024",0.156
"Feb 8, 2024",
"Feb 9, 2024",
"Feb 9, 2024",
"Feb 9, 2024",0.151
"Feb 9, 2024",0.15
"Feb 9, 2024",
"Feb 10, 2024",
"Feb 10, 2024",0.152
"Feb 10, 2024",0.154
"Feb 10, 2024",
"Feb 11, 2024",0.159
"Feb 11, 2024",
"Feb 11, 2024",0.159
"Feb 11, 2024",
"Feb 12, 2024",
"Feb 12, 2024",0.161
"Feb 12, 2024",
"Feb 12, 2024",0.163
"Feb 12, 2024",
"Feb 13, 2024",
"Feb 13, 2024",0.17
"Feb 13, 2024",0.168
"Feb 13, 2024",0.172
"Feb 13, 2024",
"Feb 14, 2024",
"Feb 14, 2024",0.183
"Feb 14, 2024",0.187
"Feb 14, 2024",
"Feb 15, 2024",0.174
"Feb 15, 2024",
"Feb 15, 2024",0.169
"Feb 15, 2024",
"Feb 16, 2024",
"Feb 16, 2024",
"Feb 16, 2024",0.158
"Feb 16, 2024",0.16
"Feb 17, 2024",
"Feb 17, 2024",0.173
"Feb 17, 2024",0.178
"Feb 17, 2024",
"Feb 18, 2024",0.155
